Priority_Rank,S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Sugar_g,Total_Fat_g,OFF_UK_Barcode,OFF_UK_Match_Found_Y_N,Indian_Label_Verified_Y_N,Verification_Source_URL,Notes
126,217,Nescafe Cafe Style Iced Frappe Cold Coffee,NESCAFE,JUICE,COFFEE,"Toned milk (48%), Water, Sugar, Dried glucose syrup, Coffee (0.8%), Stabilizers 466,Stabilizers 460(i), Acidity regulators 500(ii),Acidity regulator 332(ii), Emulsifier (322(i)), Thickener (415), Iodized salt",100.0,6.2,1.1,,,,,
127,215,Nescafe Ready To Drink Coffee Flavoured Milk Iced Latte Cold Coffee,NESCAFE,JUICE,COFFEE,"Double Toned Milk (87%), Sugar, Coffee (0.8%), Acidity Regulator (339(ii)), Stabilizer (407), Iodized Salt",100.0,16.9,2.9,,,,,
128,218,Nescafe Ready To Drink Coffee Flavoured Milk Intense Cafe Cappucino Cold Coffee,NESCAFE,JUICE,COFFEE,"Double Toned Milk (87%), Sugar, Coffee (0.8%), Acidity Regulator (339(ii)), Nature-Identical (Cappuccino) Flavouring Substances,Stabilizer (407)",100.0,16.9,2.9,,,,,
129,459,Kitkat Delights Hazelnut,NESTLE,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (21%), Hazelnuts (16%), Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Flavours (Natural, Nature Identical And Artificial (VANILLA CAKE) Flavouring Substances). Allergen Information: Contains Milk And Hazelnut. May Contain Other Tree Nuts, Wheat, Barley And Soy",100.0,36.4,22.9,,,,,
130,699,Nestle Cerelac Multigrain & Fruits Baby Food Cereal,NESTLE,INSTANT FOOD,CEREAL,"Wheat flour (Atta) (48.1%), Milk solids (32.7%), Cereal discs (Corn flour (6.7%), Barley flour (2.2%)), Orange juice concentrate (4.6%), Sugar, Soyabean oil, Dehydrated apple bits (2.4%), Cherry flakes (1.7%), Minerals, Vitamins and Enzyme* (Alpha amylase)",100.0,23.5,9.4,,,,,
131,698,Nestle Cerelac Wheat Apple Carrot Baby Food Cerea,NESTLE,INSTANT FOOD,CEREAL,"Wheat flour (Atta) (58%), Milk solids (31.8%), Apple juice concentrate (11.4%), Soyabean oil, Carrot juice concentrate (1.1%), Minerals, Vitamins and Enzyme (Alpha amylase)",100.0,20,12.5,,,,,
132,390,Nestle KitKat Delights Caramel,NESTLE,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate (68.9) (Sugar, Milk solids (16.6), Cocoa butter (12), Cocoa solids (8.2), Emulsifier (Soy lecithin), Nature identical (Cream Caramel) flavouring substances & Artificial (VANILLA CAKE) flavouring substances), WAFER(Refined Wheat flour (Maida), Sugar, Hydrogenated vegetable fats, Cocoa solids (0.68), Milk solids, Fractionated vegetable fat, Yeast, Raising agent (500(ii)), Emulsifier (Soy lecithin), Flour treatment agent (516), lodized Salt, Artificial (VANILLA CAKE) flavouring substances & Nature identical Flavouring substances)",100.0,42.9,24.1,,,,,
133,456,Nestle KitKat Delights Dark,NESTLE,CHOCOLATE,CHOCOLATE BAR,"Dark Chocolate (76.2%) (Sugar, Cocoa solids (28.2%), Cocoa butter (8%), Emulsifier (Soya lecithin), Nature-Identical Flavouring Substance and Iodised salt) and WAFER(Sugar, Hydrogenated vegetable fats, Refined Wheat flour (Maida), Cocoa solids (1.2%), Milk solids, Fractionated vegetable fat, Raising agent (500(ii)), Yeast, Emulsifier (Soya lecithin), Iodised salt, Flour treatment agent (516), Artificial (VANILLA CAKE) flavouring substance and Nature-Identical flavouring substance)",100.0,37.7,22.5,,,,,
134,381,Nestle KitKat Delights Rich,NESTLE,CHOCOLATE,CHOCOLATE,"Milk Chocolate (68.8) (Sugar, Milk solids (16.6), Cocoa butter (12), Cocoa solids (8.2), Emulsifier (Soya lecithin) & Artificial (VANILLA CAKE) flavouring substances), WAFER(Refined Wheat flour (Maida), Sugar, Hydrogenated vegetable fats, Cocoa solids (1.5), Milk solids, Fractionated vegetable fat, Yeast, Raising agent (500(ii)), Emulsifier (Soya lecithin), lodized salt, Flour treatment agent (516), Artificial (VANILLA CAKE) flavouring substances & Nature identical flavouring substances)",100.0,41.5,24.2,,,,,
135,709,Nestle Milkmaid Partly Skimmed Sweetened Condensed Milk,NESTLE,INSTANT FOOD,CONDENSED MILK,"Milk Solids, Sugar",100.0,58.4,3.9,,,,,
136,355,Nestle Munch Max Choco Coated Crunchy WAFERBar,NESTLE,CHOCOLATE,WAFERCHOCOLATE,"Sugar, Refined Wheat flour (Maida), Hydrogenated vegetable fats, Fractionated vegetable fat, Milk solids, Cocoa solids (3.9%), Emulsifier (Soya lecithin), Raising agent (500(ii)), Yeast, Iodised salt, Flour treatment agent (516), Artificial (VANILLA CAKE) flavouring substance and Nature-Identical flavouring substance",100.0,32.2,22.8,,,,,
137,751,Nutella Hazelnut Spread with Cocoa,NUTELLA,SPREAD,CHOCOLATESPREAD,"Sugar, Palm Oil, Hazelnuts (13%), Skimmed Cow Milk Powder (8.7%), Low Fat Cocoa Powder (7.4%), Emulsifier (Lecithin - Ins 322), Nature Identical Flavouring Substance Vanillin",100.0,56.3,30.9,,,,,
138,472,Orbit Sugar-Free Mixed Fruit Chewing Gum Tube,ORBIT,CHOCOLATE,CHEWING GUM,"Gum Base (Contains Soyabean Lecithin), Colour [INS170 (i)], Binders [(INS 414), (INS 1401)], Humectant [INS 422], Sweetener [INS 950], Anticaking Agent [INS 553 (iii)], Glazing Agent [INS 903], Antioxidant [INS 320]",100.0,0,1.6,,,,,
139,234,Cadbury Chocobakes ChocLayered Cakes,OREO,CAKE,CAKE,"Cake (45%) - Refined Wheat Flour (Maida), Sugar, Humectants (420 (ii), 422, 1520), Palm Olein, Líquid Glucose, Milk Solids, Cocoa Solids, Starch, Emulsifiers (322, 475, 471, 491), Raising Agent (500(1),450), 341(1)), lodised Salt, Flavours (Natural Flavour, Nature Identical Flavouring Substances), Preservative (202), Stabilizer (415)); Chocolayer (29%) - Sugar, Hydrogenated Vegetable Oils, Milk Solids, Cocoa Solids, Emulsifiers (442,476)), Flavours (Nature Identical, Artificial (VANILLA CAKE and Caramel) Flavouring Substances); Filling (26%*) -(Sugar, Fractionated Fat, Liquid Glucose, Humectant (422, 1520), Water, Emulsifiers (322, 475, 471, 491), Cocoa Solids, Flavours (Natural flavour, Nature Identical Flavouring Substances), lodised Salt, Preservative (202)). Allergen Information: Contains Milk, Wheat, Sulphites and Soy.",100.0,40.3,21.9,,,,,
140,36,Cadbury Chocobakes ChocoChip Cookies,OREO,BISCUIT,COOKIES,"Refined wheat flour (maida), milk chocolate chips, sugar, cocoa butter, milk solids, cocoa solids, dextrose, emulsifiers (442),  natural identical and artificial VANILLA CAKE ,natural identical and artificial caramel , palmolein, invert sugar, raising agents 503(ii), raising agents 500(ii),  raising agents 450(i), iodised salt, emulsifier (322)",100.0,31.2,18,,,,,
141,711,Pillsbury Butterscotch Flavour Pancake Mix,PILLSBURY,INSTANT FOOD,PANCAKE MIX,"Refined Wheat Flour (Maida), Sugar, Butterscotch Bits (7.0%)[Sugar, Edible Vegetable Fat (Hydrogenated), Iodized Salt and Artificial Flavouring Substances (Butterscotch)], Edible Vegetable Oil (Palm), Baking Powder [INS500(ii), INS541(i)], Iodized Salt, Artificial Flavouring Substances (Caramel, Butterscotch) and Raising Agent [INS500(ii)]",100.0,20.6,5.8,,,,,
142,713,Pillsbury Chocolate Flavour Pancake Mix 2-Minute Pancake Mix For Kids,PILLSBURY,INSTANT FOOD,PANCAKE MIX,"Refined wheat flour (maida), Sugar, Edible vegetable oil (palm), Cocoa powder (3.7%), Baking powder [ins 500(ii), Ins 541(I)], Artificial flavouring substance (VANILLA CAKE, Chocolate), Milk solids, Lodized salt, Raising agent [ins 500(ii)] And colour (ins 150d)",100.0,27.9,5.3,,,,,
143,706,Pillsbury VANILLA CAKE Custard Powder,PILLSBURY,INSTANT FOOD,CUSTARD POWDER,"Cornflour, Lodised Salt, Nature Identical and Artificial Flavouring Substances - VANILLA CAKE, Colours - (INS 102, INS 110, INS 122)",100.0,0,0,,,,,
144,585,Pringles Imported Potato Chips - Ranch,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potatoes, Vegetable Oil (Corn, Cottonseed, High Oleic Soyabean And/or Sunflower Oil), Degerminated Yellow Corn Flour, Cornstarch, Rice Flour, Maltodextrin, Mono And Diglycerides, Salt, Whey, Msg, Coconut Oil, Natural And Artificial Flavours, Garlic Powder, Onion Powder, Buttermilk, Cultured Nonfat Milk, Sour Cream, Citric Acid, Spices, Lactic Acid, Malic Acid, Sugar, Acetic Acid, Apple Cider",28.0,<1,9,,,,,
145,586,Pringles Imported Potato Crisps - BBQ,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potatoes, Vegetable Oil (Corn, Cottonseed, Soybean, And/Or Sunflower Oil), Degerminated Yellow Corn, High Oleic Cornstarch, Rice Flour, Maltodextrin, Sugar, Mono- And Diglycerides, Citric Acid, Onion Powder, Spice, Garlic Powder, Yeast Extract, Salt, Tomato Powder, Monosodium Glutamate, Hydrolyzed Corn Protein, Malted Barley Flour, Malic Acid, flavours, Whey, Wheat Starch, Inosinate, Disodium Guanylate, Paprika Extract Colour, Natural Flavours, Contains Milk And Wheat Ingredients",28.0,1,9,,,,,
146,581,Pringles Potato Chips Desi Masala Tadka Flavour,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potato (42%), Edible Vegetable Oil (Palm Oil), Corn Flour, Starch, Desi Masala Tadka Flavour Seasoning (5%) [Salt, Maltodextrin, Vegetable Powders (Onion Powder (6%), Garlic Powder (2.7%), Tomato Powder (1%)), Sugar, Spices (Black Pepper Powder, Ginger Powder, Turmeric Powder}, Flavouring Substances (Nature Identical), Acidity Regulators (INS 330, 296, 334), Anticaking Agent (INS 551). Stabiliser {INS 341 (iii)}, Preservative {INS 2620)}, Flavour Enhancers (INS 627, 631), Paprika Extract (0.3%),Emulsifier (INS 414)), Emulsifier (INS 471), Maltodextrin, Aciditi Regrulator (INS 330)",100.0,1.5,28.3,,,,,
147,313,Pringles Potato Chips Original Flavour,PRINGLES,SNACKS,CHIPS,"Corn Flour, Dried Potato, Edible Vegetable Oil (Palm Oil), Maltodextrin, Salt, Wheat Starch",100.0,0.4,27.9,,,,,
148,580,Pringles Potato Chips Original Flavour - Classic Salted,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potato (44%), Edible Vegetable Oil (Palm Oil), Corn Flour, Starch, Emulsifier (INS 471), Maltodextrin, Salt, Acidity Regulator (INS 330) Contains wheat",100.0,0.4,27.9,,,,,
149,584,Pringles Potato Chips Peri Peri Flavour,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potato (41 %), Edible Vegetable Oil (Palm Oil), Corn Flour, Starch, Peri Peri Seasoning (6.5%) [Maltodextrin, Salt, Sugar, Flavouring Substances (Natural & Nature Identical), Vegetable Powder (5%) (Garlic), Vinegar, Spices {Red Chilli Pepper, Cumin}, Acidity Regulator (INS 296), Flavour Enhancer (INS 635), Anticaking Agents {INS 341 (iii), 551), Spice Extracts (Green Chilli, Garlic, Paprika), Herb Extract (Oregano)], Emulsifier (INS 471), Maltodextrin, Acidity Regulator (INS 330) Contains Wheat, Soy and Milk",100.0,2,28.5,,,,,
150,582,Pringles Potato Chips Pizza Flavour,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potato (42%), Edible Vegetable Oil (Palm Oil), Corn Flour, Starch, Pizza Flavour Seasoning (5.5%) [Salt, Cheese Blend (10%) {Cheese Powder, Whey Powder, Buttermilk Powder, Sweet Cream, Salt, Lactic Acid (INS 270)), Dextrose, Dried Vegetable Powders (6%) {Tomato Powder (2%), Onion Powder, Garlic Powder}, Sugar, Dried Fat Emulsion (Coconut Oil), Flavouring Substances (Artificial (Cheese & Smoke)), Maltodextrin, Herbs & Spices {Basil, Oregano, Fennel, Black Pepper}, Yeast Extract, Whey Powder, Acidity Regulators INS 296 330), Flavour Enhancer (INS 635), Anticaking Agent (INS 551)], Emulsifier (INS 471), Maltodextrin, Acidity Regulator (INS 330)",100.0,2.4,27.4,,,,,
151,583,Pringles Potato Chips Tangy Tomato Twist,PRINGLES,SNACKS,POTATOCHIPS,"Dried Potato (45%), Edible Vegetable Oil (Palm Oil). Corn Flour Starch, Tangy Tomato Twist Season (5.5%) [Sugar, Salt, Vegetable Powder (17%)(Tomato (6%). Onion (6%). 61 Spices & Herb (Cayenne, Corian(2%), Fennel), Black Rock Salt. Acidity Regulators (INS 330, 296), Anticaking Agent (INS 551), Flavour Enhancers (MSS 631), Stabilizer (INS 341(ii)l, Flavour Substance (Nature Identical), Edible Vegetable Oil (Coconut Oil, Palm Oil), Emulsifier (INS 414), Paprika, Emulsifier, Maltodextrin, Regulator (INS 330)",100.0,4.2,26.5,,,,,
152,718,Quaker Oats Breakfast Cereal,QUAKER,INSTANT FOOD,CEREAL,"Whole Grain Rolled Oats, Natural And Artificial Sugar, Calcium Carbonate, Salt, Iron, Thiamine, Folic Acid, Vitamin A And Riboflavin.",100.0,1.8,9.5,,,,,
153,191,Red Bull Energy Drink,RED BULL,JUICE,SODA,"Water, Sucrose, Glucose, Acidulant (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulators Sodium Bicarbonate,Acidity Regulators Magnesium Carbonate, Flavours (Natural and Artificial), Colour (Caramel), Caffeine (0.03%), Vitamins (Niacin, B6, B2, B12)",100.0,11,0,,,,,
154,475,Skittles Original Bite-Size Fruit Candy Tube,SKITTLES,CHOCOLATE,CANDY,"Sugar, Liquid Glucose, Edible Vegetable Oil (Palm Oil), Acidity Regulators (330, 331(iii)), Stabilizers (1400, 1450), Natural, Nature-Identical and Artificial (Orange, Strawberry) Flavouring Substances, Emulsifier (1422), Glazing Agents (903, 904), Colour (102, 129, 170(i), 110, 132, 133)",100.0,90,4.2,,,,,
155,474,Skittles Wildberry Bite-Size Fruit Flavoured Candy,SKITTLES,CHOCOLATE,CANDY,"Sugar, Liquid Glucose, Edible Vegetable Oil (Palm Oil), Acidity Regulators (INS 330, INS 331(iii)), Stabilizers (INS 1400, INS 1450), Natural, Nature-identical, and Artificial Flavouring Substances (Strawberry, Raspberry, Mixed Berry), Emulsifier (INS 1422), Glazing Agents (INS 903, INS 904), Colours (INS 129, INS 102, INS 170(i), INS 132, INS 133)",100.0,90,4.3,,,,,
156,404,Snickers Almond Filled CHOCOLATE BAR,SNICKERS,CHOCOLATE,CHOCOLATE BAR,"Milk Chocolate Coating (35%): Sugar, Milk Solids, Cocoa Butter, Cocoa solids, Lactose, Dextrose, Emulsifier (Soya Lecithin),Ethyl Vanillin; Centre Filling(65%): Milk Solids, Salt, Lactose, Milk Fat, Almonds, Glucose Syrup, Sugar, Hydrogenated egetable Oil (Palm Oil),Cocoa Butter, Cocoa solid Dextrose, Emulsifier (Soya Lecithin), Ethyl vanillin.",100.0,53,24,,,,,
157,393,"Snickers Filled with Brownie, Peanuts & Caramel CHOCOLATE BAR",SNICKERS,CHOCOLATE,CHOCOLATE BAR,"Milk chocolate (35%): (Sugar, Milk solids, Cocoa butter, Cocoa solids, Dextrose, Edible vegetable fat <5% (Sal fat, Palm oil), Emulsifier (322)); Centre filling (65%): (Liquid glucose, Peanuts (13%), Sugar, Cocoa solids (9.6%), Milk solids, Edible vegetable fat (Palm oil, Sesame oil), Invert sugar, lodized salt, Nature identical flavour, Cocoa butter, Emulsifier (322)).",100.0,50.3,26.1,,,,,
158,372,Snickers Peanut Filled CHOCOLATE BAR Loaded with Delicious Roasted Peanuts,SNICKERS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids, Cocoa Butter, Cocoa Solids, Edible Vegetable Fats (Sal Fat, Palm Oil), Dextrose, Emulsifier (INS 322), Liquid Glucose, Peanuts, Hydrogenated Vegetable Oil (Palm Oil), Iodized Salt",100.0,51.84,25.1,,,,,
159,183,Sprite Lemon and Lime Soft Drink,SPRITE,JUICE,SODA,"Acidity Regulators INS 330,Acidity Regulators INS 331(III), Carbonated Water, Flavours (Natural Flavoring Substances), Preservative (INS 211), Sugar",100.0,11.7,0,,,,,
160,738,Tabasco Red Pepper Sauce,TABASCO,SAUCE,RED PEPPER SAUCE,"Aged red peppers, salt, and distilled vinegar",100.0,1,<1,,,,,
161,169,Thums Up X Force,THUMS UP,JUICE,SODA,"Carbonated Water, Acidity Regulator (338), Caffeine, Colour (150d), Preservative (211), Sweeteners 955,Sweeteners 950,  Flavours (Natural, Nature Identical, Artificial (Cola) Flavouring Substances)",100.0,0,0,,,,,
162,537,Tic Tac Candy - Red Apple Treat,TIC TAC,CHOCOLATE,CANDY,"Mint, Red Apple Flavour, Sugar, Dextrins - Stabilizers (INS 1400), Rice Starch, Thickener (INS 414), Fructose, Glazing Agent (INS 903)",100.0,91.4,0.2,,,,,
163,531,Tic Tac Orange Hard Candy,TIC TAC,CHOCOLATE,CANDY,"Sugar, Maltodextrin, Permitted Acidulant (INS 33), Rice Starch, Flavours (Natural Flavour and Nature-Identical Flavouring Substances), Thickener (INS 414), Anticaking Agent (INS 47 (i)), Glazing Agent (INS 93)",100.0,93.3,0.7,,,,,
164,476,Tic Tac Seeds Fennel (Saunf),TIC TAC,CHOCOLATE,CANDY,"Sugar, Fennel Seeds Powder, Maltodextrin, Thickener (INS 414), Rice Starch, Anticaking Agent (INS 470(i)), Natural Flavours, Glazing Agent (INS 903)",100.0,85,1.5,,,,,
165,480,Tic Tac Seeds Jeera Blacksalt,TIC TAC,CHOCOLATE,CANDY,"Sugar, Maltodextrin, Cumin Seeds Powder (1.8%), Thickener (INS 414), Rice Starch, Black Salt Kala Namak (0.6%), Natural and Natural Identical Flavours, Water, Anticaking Agent (INS 470(iii)), Glazing Agent (INS 903)",100.0,86.8,0.8,,,,,
166,426,Toblerone Black Chocolate,TOBLERONE,CHOCOLATE,CHOCOLATE,"Cocoa Mass, Sugar, Milk Fat, Honey (3%), Almonds (1.6%), Cocoa Butter, Emulsifier (Soya Lecithin), Egg White",33.0,17,10,,,,,
167,444,Toblerone Fruit & Nut Chocolate,TOBLERONE,CHOCOLATE,CHOCOLATE BAR,"Sugar, Whole Milk Powder, Cocoa Butter, Raisins (12%), Cocoa Mass, Honey (3%), Milk Fat, Almonds (1.6%), Emulsifier (Soy Lecithin ), Egg White, Flavouring (Vanillin ), Milk Chocolate Contains Cocoa Solids 28% Minimum. Contains Milk, Tree Nuts (Almonds), Soy, Egg.",100.0,61,25,,,,,
168,142,Tropicana Delight Cranberry Fruit Juice,TROPICANA,JUICE,FRUIT BEVERAGE,"Water, Sugar, Concentrated Cranberry Juice (1.6%), Concentrated Apple Juice (1.5%), Concentrated Red Grape Juice (1.1%), Concentrated Pomegranate Juice, Salt, Acidity Regulator (296), Sweetener (960)",100.0,10.5,0,,,,,
169,131,Tropicana Delight Guava Fruit Juice,TROPICANA,JUICE,FRUIT BEVERAGE,"Water, Guava Pulp (22%), Sugar, Acidity Regulator (330), Flavour (Natural and Nature Identical Flavouring Substances), Antioxidant (300), Colour (160a)",100.0,13.5,0,,,,,
170,132,Tropicana Delight Mixed Fruit Juice,TROPICANA,JUICE,FRUIT BEVERAGE,"Water, Sugar, Concentrated Mixed Fruit Juice (6.1%) , Apple, Mango, Guava, Orange, Banana, Apricot, Peach, Acidity Regulator (330), Stabilizers 466,Stabilizers 440, Iodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), Sweetener (960a), Colour (160a(i))",100.0,10.2,0,,,,,
171,366,Twix Minis Cookie Caramel Chocolate Pack,TWIX,CHOCOLATE,CHOCOLATE BAR,"Sugar, Liquid Glucose, Refined Wheat Flour (Maida) (17%), Edible Vegetable Fat (Palm Fat), Milk Solids, Cocoa Butter, Cocoa Solids, Salt, Emulsifier (Ins 322), Raising Agent (Ins 500), and Natural Flavour (VANILLA CAKE)",100.0,48,23.7,,,,,
172,446,Wedel Milk CHOCOLATE BAR,WEDEL,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Butter, Dried Whole Milk, Cocoa Mass, Dried Whey (From Milk), Lactose and Milk Proteins, Hazelnut Paste, Milk Fat, Emulsifier (Lecithins), Flavouring",100.0,57,30,,,,,
